document,date,location
No-MM_N0947,1909-01-18,København
No-MM_N0948,1909-02-26,N/A
No-MM_N0949,1909-04-11,København
No-MM_N0950,1909-04-15,København
No-MM_N0951,1909-05-11,N/A
No-MM_N0953,1909-05,N/A
No-MM_N0954,1909-05,N/A
No-MM_N0955,1909-06-20,N/A
No-MM_N0956,1909-07-14,Kragerø
No-MM_N0957,1904-08-17,Travemünde
No-MM_N0958,1907-08-17,Berlin
No-MM_N0959,1909-09,N/A
No-MM_N0960,1909-10,N/A
No-MM_N0961,1920-10-19,N/A
No-MM_N0962,1900-08,N/A
No-MM_N0963,1910-12-18,Kragerø
No-MM_N0964,1911-01,N/A
No-MM_N0965,1911-04-08,Hvitsten
No-MM_N0966,1911-02,N/A
No-MM_N0967,1911-12-14,N/A
No-MM_N0969,1914-01-18,N/A
No-MM_N0970,1896-08-13,N/A
No-MM_N0972,1912-05-28,N/A
No-MM_N0973,1911-09,N/A
No-MM_N0974,1912-09-24,N/A
No-MM_N0975,1913-04-24,N/A
No-MM_N0976,1913-08-27,N/A
No-MM_N0977,1913-11-07,N/A
No-MM_N0978,1913-09,N/A
No-MM_N0979,1913-07-23,N/A
No-MM_N0980,1914-01-25,N/A
No-MM_N0981,1914-02-16,N/A
No-MM_N0982,1914-09-25,N/A
No-MM_N0983,1914-02-07,N/A
No-MM_N0984,1915-08-22,N/A
No-MM_N0985,1915-08-21,N/A
No-MM_N0986,1915-10-17,N/A
No-MM_N0987,1915-11-06,N/A
No-MM_N0988,1915-11-19,N/A
No-MM_N0989,1920-01-31,Oslo
No-MM_N0990,1920-12-23,N/A
No-MM_N0991,1910-03,N/A
No-MM_N0992,1909-11,N/A
No-MM_N0993,1921-01-29,Oslo
No-MM_N0994,1921-12-24,N/A
No-MM_N0995,1922-12-27,N/A
No-MM_N0996,1911-12-30,N/A
No-MM_N0997,1922-05-30,N/A
No-MM_N0998,1922-09,N/A
No-MM_N0999,1916%1917,N/A
No-MM_N1000,1923-05-15,N/A
No-MM_N1001,1925-08-08,N/A
No-MM_N1002,1925-02,N/A
No-MM_N1003,1925-12-23,N/A
No-MM_N1004,1917-12,N/A
No-MM_N1005,1923-01-19,N/A
No-MM_N1006,1926-01-29,N/A
No-MM_N1007,1926-02-13,N/A
No-MM_N1008,1926-05-27,N/A
No-MM_N1009,1926-06-08,N/A
No-MM_N1010,1926-10-07,N/A
No-MM_N1011,1926-10-14,Dresden
No-MM_N1012,1926-10-20,N/A
No-MM_N1013,1926-10-21,N/A
No-MM_N1014,1926-12-31,N/A
No-MM_N1015,1915-02,N/A
No-MM_N1016,1927-04-04,N/A
No-MM_N1017,1916-11,N/A
No-MM_N1018,1927-04-04,Roma
No-MM_N1019,1930-08-24,Oslo
No-MM_N1020,1931-01-02,N/A
No-MM_N1024,1909-05-04,N/A
No-MM_N1026,1915-05,N/A
No-MM_N1028,1889,N/A
No-MM_N1033,1911-11,N/A
No-MM_N1036,1916-02,N/A
No-MM_N1038,1912-02,N/A
No-MM_N1039,1910-04,N/A
No-MM_N1041,1914-12,N/A
No-MM_N1045,1908-12,N/A
No-MM_N1049,1909-02-04,N/A
No-MM_N1050,1911-11,N/A
No-MM_N1051,1910-08,N/A
No-MM_N1054,1916-02,N/A
No-MM_N1058,1928-10-25,N/A
No-MM_N1061,1925-02,N/A
No-MM_N1062,1922-10,N/A
No-MM_N1063,1894,N/A
No-MM_N1065,1915-03,N/A
No-MM_N1068,1924,N/A
No-MM_N1072,1912-10-24,N/A
No-MM_N1073,1922-09,N/A
No-MM_N1076,1916%1917,N/A
No-MM_N1079,1916%1917,N/A
No-MM_N1080,1917-09,N/A
No-MM_N1081,1916-12,N/A
No-MM_N1082,1916%1917,N/A
No-MM_N1083,1909,N/A
No-MM_N1084,1916%1917,N/A
No-MM_N1085,1915-09,N/A
